topology,round,rmse_disagreement
Fully connected,0,0.7830827028981137
Fully connected,1,4.5775667985222376e-17
Fully connected,2,4.2998752849492583e-17
Fully connected,3,4.154074181055225e-17
Fully connected,4,4.154074181055225e-17
Fully connected,5,4.154074181055225e-17
Fully connected,6,4.154074181055225e-17
Fully connected,7,4.154074181055225e-17
Fully connected,8,4.154074181055225e-17
Fully connected,9,4.154074181055225e-17
Fully connected,10,4.154074181055225e-17
Fully connected,11,4.154074181055225e-17
Fully connected,12,4.154074181055225e-17
Fully connected,13,4.154074181055225e-17
Fully connected,14,4.154074181055225e-17
Fully connected,15,4.154074181055225e-17
Fully connected,16,4.154074181055225e-17
Fully connected,17,4.154074181055225e-17
Fully connected,18,4.154074181055225e-17
Fully connected,19,4.154074181055225e-17
Fully connected,20,4.154074181055225e-17
Fully connected,21,4.154074181055225e-17
Fully connected,22,4.154074181055225e-17
Fully connected,23,4.154074181055225e-17
Fully connected,24,4.154074181055225e-17
Fully connected,25,4.154074181055225e-17
Fully connected,26,4.154074181055225e-17
Fully connected,27,4.154074181055225e-17
Fully connected,28,4.154074181055225e-17
Fully connected,29,4.154074181055225e-17
Fully connected,30,4.154074181055225e-17
Fully connected,31,4.154074181055225e-17
Fully connected,32,4.154074181055225e-17
Fully connected,33,4.154074181055225e-17
Fully connected,34,4.154074181055225e-17
Fully connected,35,4.154074181055225e-17
Fully connected,36,4.154074181055225e-17
Fully connected,37,4.154074181055225e-17
Fully connected,38,4.154074181055225e-17
Fully connected,39,4.154074181055225e-17
Fully connected,40,4.154074181055225e-17
Fully connected,41,4.154074181055225e-17
Fully connected,42,4.154074181055225e-17
Fully connected,43,4.154074181055225e-17
Fully connected,44,4.154074181055225e-17
Fully connected,45,4.154074181055225e-17
Fully connected,46,4.154074181055225e-17
Fully connected,47,4.154074181055225e-17
Fully connected,48,4.154074181055225e-17
Fully connected,49,4.154074181055225e-17
Fully connected,50,4.154074181055225e-17
Fully connected,51,4.154074181055225e-17
Fully connected,52,4.154074181055225e-17
Fully connected,53,4.154074181055225e-17
Fully connected,54,4.154074181055225e-17
Fully connected,55,4.154074181055225e-17
Fully connected,56,4.154074181055225e-17
Fully connected,57,4.154074181055225e-17
Fully connected,58,4.154074181055225e-17
Fully connected,59,4.154074181055225e-17
Fully connected,60,4.154074181055225e-17
Torus (5 x 5),0,0.7830827028981137
Torus (5 x 5),1,0.3273868365233307
Torus (5 x 5),2,0.19921558155541544
Torus (5 x 5),3,0.13297190078173
Torus (5 x 5),4,0.09302033419807224
Torus (5 x 5),5,0.06641292509242111
Torus (5 x 5),6,0.047807408366841136
Torus (5 x 5),7,0.034524667084631706
Torus (5 x 5),8,0.024963168781982556
Torus (5 x 5),9,0.01805823360407893
Torus (5 x 5),10,0.01306559966155346
Torus (5 x 5),11,0.00945395292107873
Torus (5 x 5),12,0.0068408329866922355
Torus (5 x 5),13,0.004950042402257328
Torus (5 x 5),14,0.00358187580489575
Torus (5 x 5),15,0.0025918673244418383
Torus (5 x 5),16,0.0018754921634624212
Torus (5 x 5),17,0.0013571186985740355
Torus (5 x 5),18,0.0009820202658815398
Torus (5 x 5),19,0.0007105965261667312
Torus (5 x 5),20,0.000514192472990419
Torus (5 x 5),21,0.00037207316775706947
Torus (5 x 5),22,0.00026923467315898323
Torus (5 x 5),23,0.00019482003960757176
Torus (5 x 5),24,0.00014097310497576576
Torus (5 x 5),25,0.00010200909705425204
Torus (5 x 5),26,7.381447605909782e-05
Torus (5 x 5),27,5.341265664824535e-05
Torus (5 x 5),28,3.8649761436414506e-05
Torus (5 x 5),29,2.7967230106763988e-05
Torus (5 x 5),30,2.0237277819480907e-05
Torus (5 x 5),31,1.4643831798143081e-05
Torus (5 x 5),32,1.0596376234239985e-05
Torus (5 x 5),33,7.667609874607362e-06
Torus (5 x 5),34,5.548334627752821e-06
Torus (5 x 5),35,4.0148126528468125e-06
Torus (5 x 5),36,2.90514572728878e-06
Torus (5 x 5),37,2.1021831967236812e-06
Torus (5 x 5),38,1.5211540512596957e-06
Torus (5 x 5),39,1.1007174119230985e-06
Torus (5 x 5),40,7.964866016765658e-07
Torus (5 x 5),41,5.763431192791615e-07
Torus (5 x 5),42,4.1704579894573584e-07
Torus (5 x 5),43,3.017771750853411e-07
Torus (5 x 5),44,2.1836801529473805e-07
Torus (5 x 5),45,1.5801258027539438e-07
Torus (5 x 5),46,1.1433897721908017e-07
Torus (5 x 5),47,8.273646115704896e-08
Torus (5 x 5),48,5.986866571858851e-08
Torus (5 x 5),49,4.332137348852741e-08
Torus (5 x 5),50,3.134764034414431e-08
Torus (5 x 5),51,2.2683365650158663e-08
Torus (5 x 5),52,1.641383756904617e-08
Torus (5 x 5),53,1.1877164436856317e-08
Torus (5 x 5),54,8.594396931490035e-09
Torus (5 x 5),55,6.2189640373494135e-09
Torus (5 x 5),56,4.500084661320479e-09
Torus (5 x 5),57,3.256291847150415e-09
Torus (5 x 5),58,2.3562749121734207e-09
Torus (5 x 5),59,1.7050165429202942e-09
Torus (5 x 5),60,1.2337615645881994e-09
Binary tree,0,0.7830827028981137
Binary tree,1,0.5561378839541717
Binary tree,2,0.47885439547501935
Binary tree,3,0.4292293293215299
Binary tree,4,0.39349385516714397
Binary tree,5,0.36635588853121964
Binary tree,6,0.344835209948915
Binary tree,7,0.32709804682008503
Binary tree,8,0.31199459303602606
Binary tree,9,0.2987969060425515
Binary tree,10,0.28703775835682066
Binary tree,11,0.27641081685828034
Binary tree,12,0.2667091614888832
Binary tree,13,0.2577876481992527
Binary tree,14,0.24953996213227347
Binary tree,15,0.24188464971906212
Binary tree,16,0.23475660723846
Binary tree,17,0.22810187231333545
Binary tree,18,0.22187440988320503
